x,y
-1.774,0.000164623237856142
-1.772,0.000166207755799255
-1.77,0.00016782307252579
-1.768,0.000169470094817194
-1.766,0.000171149765404482
-1.764,0.000172863181492836
-1.762,0.000174611132141749
-1.76,0.00017639479359742
-1.758,0.000178215271517232
-1.756,0.000180073717678175
-1.754,0.000181971332406891
-1.752,0.000183909499284836
-1.75,0.000185889262281036
-1.748,0.000187912112917563
-1.746,0.000189979473311595
-1.744,0.000192092828859546
-1.742,0.000194253879196851
-1.74,0.000196463955771052
-1.738,0.000198724900307635
-1.736,0.00020103848944705
-1.734,0.000203406583540117
-1.732,0.000205831297131146
-1.73,0.00020831434634864
-1.728,0.000210858035709138
-1.726,0.000213464614070987
-1.724,0.000216136442883834
-1.722,0.000218876190459905
-1.72,0.000221686095951977
-1.718,0.000224569086135403
-1.716,0.000227528049942407
-1.714,0.000230566030598634
-1.712,0.000233686449380868
-1.71,0.000236892269538985
-1.708,0.000240187271012868
-1.706,0.000243575227638177
-1.704,0.000245561546980192
-1.702,0.000247320174805127
-1.7,0.000249104052514248
-1.698,0.00025091385078761
-1.696,0.000252750138716385
-1.694,0.000254613502173912
-1.692,0.000256504672944017
-1.69,0.000258424017282106
-1.688,0.000260372301879308
-1.686,0.000262350186258384
-1.684,0.000264358350135406
-1.682,0.000266397632807285
-1.68,0.000268468481695378
-1.678,0.000270571778412283
-1.676,0.000272708291610385
-1.674,0.000274878814413314
-1.672,0.0002770841653976
-1.67,0.000279325342009877
-1.668,0.000281602914590166
-1.666,0.000283917934408303
-1.664,0.00028627133266574
-1.662,0.000288664071696939
-1.66,0.000291097311784552
-1.658,0.000293571753351563
-1.656,0.000296088623025979
-1.654,0.000298649021486981
-1.652,0.00030125408781792
-1.65,0.000303905181583346
-1.648,0.000306603166276526
-1.646,0.000309349483954308
-1.644,0.00031214544514562
-1.642,0.000314992408190787
-1.64,0.00031789197881548
-1.638,0.00032084522664394
-1.636,0.000323853860945248
-1.634,0.000326919454580863
-1.632,0.000330043640536063
-1.63,0.000333228331697564
-1.628,0.000336474860661949
-1.626,0.000339785271635761
-1.624,0.000343161468865134
-1.622,0.000346605433040163
-1.62,0.00035011946459075
-1.618,0.000353705235044728
-1.616,0.000357365213288402
-1.614,0.000361101727011326
-1.612,0.000364917202282443
-1.61,0.000368814434474929
-1.608,0.000372795536938431
-1.606,0.000376863523880046
-1.604,0.000381021270958961
-1.602,0.000385271782152887
-1.6,0.000389618196996135
-1.598,0.000394064101606966
-1.596,0.000398612330823321
-1.594,0.000403266775937261
-1.592,0.00040803120163595
-1.59,0.000412909552646371
-1.588,0.000417906305732744
-1.586,0.000423025125379029
-1.584,0.000428270898072363
-1.582,0.00043364840600332
-1.58,0.000439162674603617
-1.578,0.000444819374663888
-1.576,0.000450623303561684
-1.574,0.000456580692165628
-1.572,0.000462697708381154
-1.57,0.000468980855138958
-1.568,0.000475437434940751
-1.566,0.000482073821320091
-1.564,0.000488470148701953
-1.562,0.00049194913707125
-1.56,0.000495478037113434
-1.558,0.000499058173905203
-1.556,0.000502690177905196
-1.554,0.000506375434857322
-1.552,0.000510115124614549
-1.55,0.000513910462143017
-1.548,0.000517762960633329
-1.546,0.00052167338966455
-1.544,0.00052564333559709
-1.542,0.000529674167625322
-1.54,0.000533767297266163
-1.538,0.000537924462587721
-1.536,0.000542146604065676
-1.534,0.000546435548620757
-1.532,0.000550792894341356
-1.53,0.00055522029069903
-1.528,0.000559719746573766
-1.526,0.00056429241368365
-1.524,0.000568940409603759
-1.522,0.000573665611211577
-1.52,0.000578469958258647
-1.518,0.000583355456025595
-1.516,0.000588324516126067
-1.514,0.00059337861322087
-1.512,0.000598520298839315
-1.51,0.000603751869773552
-1.508,0.000609075703827422
-1.506,0.000614494632173355
-1.504,0.000620010474786342
-1.502,0.000625626237200323
-1.5,0.000631344659311255
-1.498,0.000637168582113234
-1.496,0.000643101356290712
-1.494,0.000649145239274048
-1.492,0.000655303801146014
-1.49,0.000661580337108778
-1.488,0.000667978269831909
-1.486,0.000674501599965221
-1.484,0.000681153144379855
-1.482,0.000687937182736001
-1.48,0.000694857713633122
-1.478,0.000701918898206679
-1.476,0.000709125559544387
-1.474,0.000716481237497437
-1.472,0.00072399111414031
